緯度,経度,区,町丁名,新規カバー人口
35.56867,139.600382,宮前区,野川,2047
35.619022,139.514073,麻生区,細山四丁目,2044
35.621724,139.514073,麻生区,細山四丁目,2042
35.592615,139.488245,麻生区,片平四丁目,2040
35.566477,139.675,中原区,中丸子,2039
35.593516,139.488245,麻生区,片平四丁目,2032
35.622175,139.511857,麻生区,細山四丁目,2029
35.60739,139.484851,麻生区,白鳥四丁目,2027
35.60694,139.484851,麻生区,白鳥四丁目,2027
35.606489,139.484851,麻生区,白鳥四丁目,2027
35.619022,139.513519,麻生区,細山四丁目,2027
35.565125,139.675554,中原区,中丸子,2026
35.607841,139.485405,麻生区,白鳥四丁目,2023
35.607841,139.485959,麻生区,白鳥四丁目,2021
35.565329,139.676742,中原区,上平間,2020
35.568368,139.598106,宮前区,東有馬五丁目,2013
35.592615,139.487691,麻生区,片平四丁目,2008
35.57017,139.597552,宮前区,東有馬五丁目,2004
35.568219,139.599828,宮前区,野川,2001
35.570922,139.599274,宮前区,野川,1999
35.593516,139.487691,麻生区,片平四丁目,1997
35.592615,139.488799,麻生区,片平四丁目,1991
35.563978,139.677296,中原区,上平間,1990
35.562627,139.679511,中原区,上平間,1988
35.562176,139.678957,中原区,上平間,1988
35.567917,139.599214,宮前区,東有馬五丁目,1986
35.564879,139.676742,中原区,上平間,1985
35.566927,139.675,中原区,中丸子,1982
35.606489,139.487621,麻生区,白鳥四丁目,1982
35.592165,139.488245,麻生区,片平四丁目,1978
35.607841,139.486513,麻生区,白鳥四丁目,1976
35.564879,139.676188,中原区,上平間,1974
35.569571,139.600935,宮前区,野川,1972
35.569269,139.597552,宮前区,東有馬五丁目,1970
35.622012,139.510499,麻生区,細山八丁目,1966
35.602814,139.520247,麻生区,高石五丁目,1959
35.602497,139.521365,麻生区,高石六丁目,1959
35.602046,139.520811,麻生区,高石六丁目,1959
35.602046,139.521365,麻生区,高石六丁目,1959
35.602814,139.520801,麻生区,高石五丁目,1959
35.567378,139.675554,中原区,中丸子,1954
35.57062,139.598106,宮前区,東有馬五丁目,1953
35.619022,139.514627,麻生区,細山四丁目,1949
35.566026,139.674446,中原区,中丸子,1947
35.593066,139.487137,麻生区,片平四丁目,1946
35.605588,139.485959,麻生区,白鳥四丁目,1946
35.570922,139.599828,宮前区,野川,1944
35.606039,139.487621,麻生区,白鳥四丁目,1944
35.570922,139.59872,宮前区,野川,1941
35.564428,139.676188,中原区,上平間,1939
35.563978,139.676742,中原区,上平間,1933
35.564428,139.677296,中原区,上平間,1933
35.592165,139.488799,麻生区,片平四丁目,1929
35.593983,139.487643,麻生区,片平,1926
35.601596,139.521365,麻生区,高石六丁目,1923
35.564428,139.676742,中原区,上平間,1922
35.603264,139.520247,麻生区,高石五丁目,1921
35.601998,139.520289,麻生区,百合丘三丁目,1921
35.601596,139.520811,麻生区,高石六丁目,1921
35.620211,139.509945,麻生区,細山八丁目,1918
35.592165,139.487691,麻生区,片平四丁目,1913
35.620373,139.515181,麻生区,細山四丁目,1911
35.593516,139.488799,麻生区,片平四丁目,1910
35.620661,139.509945,麻生区,細山八丁目,1907
35.619022,139.512965,麻生区,細山四丁目,1907
35.605588,139.486513,麻生区,白鳥四丁目,1906
35.606039,139.484851,麻生区,白鳥四丁目,1906
35.603264,139.520801,麻生区,高石五丁目,1904
35.602046,139.521919,麻生区,高石六丁目,1904
35.602947,139.521919,麻生区,高石六丁目,1904
35.603264,139.521355,麻生区,高石五丁目,1904
35.602497,139.521919,麻生区,高石六丁目,1904
35.592615,139.489353,麻生区,片平四丁目,1903
35.61931,139.511054,麻生区,細山八丁目,1900
35.567917,139.59866,宮前区,東有馬五丁目,1900
35.607841,139.484851,麻生区,白鳥四丁目,1900
35.620824,139.515214,麻生区,細山五丁目,1899
35.60694,139.487621,麻生区,白鳥四丁目,1896
35.592615,139.487137,麻生区,片平四丁目,1894
35.607841,139.487067,麻生区,白鳥四丁目,1892
35.566477,139.674446,中原区,中丸子,1890
35.570922,139.598166,宮前区,野川,1882
35.593066,139.489353,麻生区,片平四丁目,1882
35.619472,139.515181,麻生区,細山四丁目,1880
35.619923,139.515181,麻生区,細山四丁目,1879
35.567378,139.675,中原区,中丸子,1879
35.563978,139.676188,中原区,上平間,1876
35.622463,139.511054,麻生区,細山八丁目,1876
35.56912,139.600935,宮前区,野川,1870
35.561726,139.678957,中原区,上平間,1870
35.562176,139.679511,中原区,上平間,1870
35.621112,139.509945,麻生区,細山八丁目,1866
35.605588,139.487067,麻生区,白鳥四丁目,1865
35.568219,139.600382,宮前区,野川,1864
35.621724,139.514627,麻生区,細山四丁目,1854
35.60739,139.487621,麻生区,白鳥四丁目,1851
35.619022,139.512411,麻生区,細山四丁目,1849
35.603264,139.521909,麻生区,高石五丁目,1849
35.622435,139.512166,麻生区,細山七丁目,1848
35.593533,139.487089,麻生区,片平,1846
35.593967,139.488245,麻生区,片平四丁目,1844
35.625764,139.568866,多摩区,登戸,1836
35.626215,139.568312,多摩区,登戸,1836
35.619022,139.511857,麻生区,細山四丁目,1836
35.601596,139.521919,麻生区,高石六丁目,1833
35.566927,139.674446,中原区,中丸子,1833
35.603715,139.520801,麻生区,高石五丁目,1828
35.562176,139.680064,中原区,上平間,1827
35.561726,139.679511,中原区,上平間,1827
35.605588,139.485405,麻生区,白鳥四丁目,1825
35.621562,139.509945,麻生区,細山八丁目,1823
35.567769,139.599828,宮前区,野川,1817
35.578491,139.524438,麻生区,虹ケ丘三丁目,1816
35.603715,139.521355,麻生区,高石五丁目,1811
35.601547,139.520289,麻生区,百合丘三丁目,1809
35.591714,139.488245,麻生区,片平四丁目,1809
35.602448,139.519735,麻生区,百合丘三丁目,1806
35.592165,139.489353,麻生区,片平四丁目,1804
35.592165,139.487137,麻生区,片平四丁目,1802
35.591714,139.488799,麻生区,片平四丁目,1801
35.621274,139.515214,麻生区,細山五丁目,1799
35.568818,139.597552,宮前区,東有馬五丁目,1799
35.622435,139.512721,麻生区,細山七丁目,1787
35.573008,139.570007,宮前区,有馬九丁目,1787
35.573008,139.570561,宮前区,有馬九丁目,1787
35.572558,139.570007,宮前区,有馬九丁目,1787
35.605662,139.484959,麻生区,白鳥三丁目,1785
35.56867,139.600935,宮前区,野川,1785
35.606113,139.484405,麻生区,白鳥三丁目,1785
35.593516,139.489353,麻生区,片平四丁目,1782
35.619022,139.515181,麻生区,細山四丁目,1778
35.592615,139.489907,麻生区,片平四丁目,1776
35.619314,139.51042,麻生区,千代ケ丘九丁目,1772
35.601998,139.519735,麻生区,百合丘三丁目,1768
35.602899,139.519735,麻生区,百合丘三丁目,1768
35.61931,139.510499,麻生区,細山八丁目,1767
35.61976,139.509945,麻生区,細山八丁目,1766
35.593967,139.488799,麻生区,片平四丁目,1760
35.622175,139.514073,麻生区,細山四丁目,1759
35.567828,139.675554,中原区,中丸子,1758
35.592165,139.489907,麻生区,片平四丁目,1757
35.603715,139.520247,麻生区,高石五丁目,1751
35.622463,139.510499,麻生区,細山八丁目,1751
35.572107,139.570007,宮前区,有馬九丁目,1747
35.572558,139.570561,宮前区,有馬九丁目,1747
35.572558,139.569453,宮前区,有馬九丁目,1745
35.572107,139.569453,宮前区,有馬九丁目,1745
35.573008,139.569453,宮前区,有馬九丁目,1745
35.566477,139.673892,中原区,中丸子,1741
35.591714,139.487691,麻生区,片平四丁目,1741
35.603715,139.521909,麻生区,高石五丁目,1739
35.602497,139.522473,麻生区,高石六丁目,1739
35.602947,139.522473,麻生区,高石六丁目,1739
35.579339,139.524796,麻生区,虹ケ丘二丁目,1734
35.57804,139.524438,麻生区,虹ケ丘三丁目,1731
35.607841,139.487621,麻生区,白鳥四丁目,1731
35.567378,139.674446,中原区,中丸子,1730
35.567917,139.598106,宮前区,東有馬五丁目,1728
35.622012,139.509945,麻生区,細山八丁目,1726
35.62264,139.510855,麻生区,細山,1721
35.571372,139.599274,宮前区,野川,1718
35.593066,139.489907,麻生区,片平四丁目,1714
35.593082,139.486535,麻生区,片平,1712
35.561726,139.680064,中原区,上平間,1709
35.571372,139.599828,宮前区,野川,1706
35.571657,139.570007,宮前区,有馬九丁目,1706
35.572107,139.570561,宮前区,有馬九丁目,1706
35.571657,139.569453,宮前区,有馬九丁目,1704
35.602046,139.522473,麻生区,高石六丁目,1703
35.622435,139.513275,麻生区,細山七丁目,1702
35.579339,139.52535,麻生区,虹ケ丘二丁目,1692
35.603349,139.519735,麻生区,百合丘三丁目,1692
35.608291,139.485959,麻生区,白鳥四丁目,1692
35.608291,139.485405,麻生区,白鳥四丁目,1691
35.608291,139.487067,麻生区,白鳥四丁目,1690
35.608291,139.486513,麻生区,白鳥四丁目,1690
35.618571,139.514073,麻生区,細山四丁目,1687
35.579789,139.524242,麻生区,虹ケ丘二丁目,1686
35.566927,139.673892,中原区,中丸子,1684
35.567828,139.675,中原区,中丸子,1684
35.591714,139.489353,麻生区,片平四丁目,1679
35.561275,139.679511,中原区,上平間,1678
35.618571,139.513519,麻生区,細山四丁目,1676
35.620661,139.509391,麻生区,細山八丁目,1674
35.591714,139.487137,麻生区,片平四丁目,1674
35.619923,139.515768,麻生区,細山五丁目,1673
35.568219,139.600935,宮前区,野川,1671
35.620373,139.515768,麻生区,細山五丁目,1667
35.561726,139.680618,中原区,上平間,1666
35.561275,139.680064,中原区,上平間,1666
35.620211,139.509391,麻生区,細山八丁目,1664
35.592615,139.486583,麻生区,片平四丁目,1663
35.571372,139.59872,宮前区,野川,1659
35.622435,139.513829,麻生区,細山七丁目,1657
35.567378,139.673892,中原区,中丸子,1655
35.567769,139.600382,宮前区,野川,1653
35.579339,139.525903,麻生区,虹ケ丘二丁目,1649
35.579789,139.524796,麻生区,虹ケ丘二丁目,1644
35.621112,139.509391,麻生区,細山八丁目,1642
35.620214,139.509312,麻生区,千代ケ丘九丁目,1638
35.620824,139.515768,麻生区,細山五丁目,1635
35.593967,139.489353,麻生区,片平四丁目,1632
35.603398,139.522473,麻生区,高石六丁目,1629
35.568368,139.597552,宮前区,東有馬五丁目,1627
35.571657,139.570561,宮前区,有馬九丁目,1625
35.605212,139.485513,麻生区,白鳥三丁目,1624
35.605138,139.485959,麻生区,白鳥四丁目,1624
35.594434,139.487643,麻生区,片平,1622
35.619472,139.515768,麻生区,細山五丁目,1621
35.593983,139.487089,麻生区,片平,1618
35.607841,139.484297,麻生区,白鳥四丁目,1616
35.601547,139.519735,麻生区,百合丘三丁目,1614
35.593516,139.489907,麻生区,片平四丁目,1611
35.567828,139.674446,中原区,中丸子,1609
35.566927,139.673339,中原区,中丸子,1609
35.581176,139.617107,高津区,千年,1607
35.621562,139.509391,麻生区,細山八丁目,1606
35.591264,139.488245,麻生区,片平四丁目,1605
35.579789,139.52535,麻生区,虹ケ丘二丁目,1604
35.567467,139.59866,宮前区,東有馬五丁目,1603
35.604165,139.520801,麻生区,高石五丁目,1603
35.571372,139.598166,宮前区,野川,1601
35.581627,139.617107,高津区,千年,1601
35.57759,139.524438,麻生区,虹ケ丘三丁目,1599
35.622463,139.509945,麻生区,細山八丁目,1598
35.617239,139.497399,麻生区,向原二丁目,1598
35.58024,139.524242,麻生区,虹ケ丘二丁目,1596
35.621274,139.515768,麻生区,細山五丁目,1596
35.601145,139.521919,麻生区,高石六丁目,1595
35.566477,139.673339,中原区,中丸子,1592
35.56912,139.601489,宮前区,野川,1592
35.580652,139.616369,宮前区,野川本町一丁目,1591
35.580726,139.616553,高津区,千年,1591
35.616788,139.497399,麻生区,向原二丁目,1590
35.618571,139.512965,麻生区,細山四丁目,1588
35.581176,139.616553,高津区,千年,1587
35.572558,139.571115,宮前区,有馬九丁目,1584
35.573008,139.571115,宮前区,有馬九丁目,1584
35.617239,139.497953,麻生区,向原二丁目,1582
35.617689,139.497953,麻生区,向原二丁目,1582
35.618859,139.511054,麻生区,細山八丁目,1579
35.581627,139.616553,高津区,千年,1579
35.606039,139.488175,麻生区,白鳥四丁目,1578
35.594434,139.488197,麻生区,片平,1578
35.617689,139.497399,麻生区,向原二丁目,1574
35.606489,139.488175,麻生区,白鳥四丁目,1574
35.592165,139.486583,麻生区,片平四丁目,1574
35.616788,139.497953,麻生区,向原二丁目,1574
35.591264,139.487691,麻生区,片平四丁目,1573
35.582077,139.616553,高津区,千年,1572
35.608291,139.484851,麻生区,白鳥四丁目,1572
35.60694,139.488175,麻生区,白鳥四丁目,1570
35.622885,139.511612,麻生区,細山七丁目,1570
35.604165,139.521355,麻生区,高石五丁目,1569
35.621724,139.515181,麻生区,細山四丁目,1567
35.567828,139.673892,中原区,中丸子,1563
35.579789,139.525903,麻生区,虹ケ丘二丁目,1562
35.591264,139.488799,麻生区,片平四丁目,1562
35.573459,139.568899,宮前区,有馬九丁目,1559
35.571657,139.568899,宮前区,有馬九丁目,1559
35.573008,139.568899,宮前区,有馬九丁目,1559
35.572558,139.568899,宮前区,有馬九丁目,1559
35.572107,139.568899,宮前区,有馬九丁目,1559
35.61814,139.497953,麻生区,向原二丁目,1558
35.580726,139.617107,高津区,千年,1558
35.581627,139.616,高津区,千年,1557
35.581553,139.615815,宮前区,野川本町一丁目,1557
35.58024,139.524796,麻生区,虹ケ丘二丁目,1556
35.579339,139.526457,麻生区,虹ケ丘二丁目,1556
35.622885,139.512166,麻生区,細山七丁目,1550
35.616338,139.496845,麻生区,向原二丁目,1550
35.582077,139.616,高津区,千年,1550
35.618571,139.512411,麻生区,細山四丁目,1549
35.561275,139.680618,中原区,上平間,1548
35.604165,139.520247,麻生区,高石五丁目,1544
35.581102,139.615815,宮前区,野川本町一丁目,1543
35.605662,139.484405,麻生区,白鳥三丁目,1543
35.572107,139.571115,宮前区,有馬九丁目,1543
35.616338,139.497399,麻生区,向原二丁目,1542
35.616788,139.496845,麻生区,向原二丁目,1542
35.601596,139.522473,麻生区,高石六丁目,1541
35.602448,139.519181,麻生区,百合丘三丁目,1540
35.616338,139.497953,麻生区,向原二丁目,1535
35.617239,139.496845,麻生区,向原二丁目,1535
35.61814,139.498507,麻生区,向原二丁目,1535
35.593533,139.486535,麻生区,片平,1534
35.594417,139.488799,麻生区,片平四丁目,1532
35.618571,139.511857,麻生区,細山四丁目,1532
35.582284,139.615728,高津区,新作二丁目,1531
35.580652,139.615815,宮前区,野川本町一丁目,1530
35.61814,139.497399,麻生区,向原二丁目,1527
35.58024,139.525903,麻生区,虹ケ丘二丁目,1525
35.619022,139.515768,麻生区,細山五丁目,1520
35.579789,139.526457,麻生区,虹ケ丘二丁目,1519
35.568279,139.674446,中原区,中丸子,1517
35.568279,139.675,中原区,中丸子,1517
35.574004,139.476733,麻生区,岡上,1517
35.574004,139.477841,麻生区,岡上,1517
35.574004,139.477287,麻生区,岡上,1517
