町丁コード,区,町丁名,経度,緯度,総人口,リスク加重人口,最寄りAED距離_km,500m以内AED数
14132219002,幸区,南幸町二丁目,139.690544,35.533212,4661,22560.74,0.1880293392305637,15
14132219003,幸区,南幸町三丁目,139.686495,35.533165,3723,21122.95,0.1317770895338439,5
14132220001,幸区,神明町一丁目,139.68873,35.539192,2943,15207.01,0.13069071712347582,11
14132220002,幸区,神明町二丁目,139.687685,35.537431,1690,9579.65,0.14185000640520962,6
14132221000,幸区,都町,139.689467,35.536957,827,3682.92,0.07139144265653928,8
14132222001,幸区,塚越一丁目,139.678547,35.546968,2278,10418.08,0.07635411526409468,8
14132222002,幸区,塚越二丁目,139.681384,35.54441,3460,18156.06,0.21811342509321613,13
14132222003,幸区,塚越三丁目,139.677735,35.541992,3432,18206.6,0.3780449925511555,2
14132222004,幸区,塚越四丁目,139.681628,35.541662,6700,39225.47,0.09254527821037364,5
14132223000,幸区,古川町,139.682816,35.546107,3966,19060.29,0.062404955204883976,17
14132224000,幸区,下平間,139.680331,35.550624,8604,48867.19,0.06625790153255898,11
14132225001,幸区,鹿島田一丁目,139.67337,35.551359,3373,15820.92,0.08176015510442816,8
14132225002,幸区,鹿島田二丁目,139.671764,35.5545,2369,14823.51,0.15268659293122788,4
14132225003,幸区,鹿島田三丁目,139.669605,35.558501,2782,14873.82,0.3381416325484858,2
14132226001,幸区,小倉,139.673509,35.545849,3788,29465.86,0.06943570529619036,8
14132226101,幸区,小倉一丁目,139.670038,35.545277,2508,12665.62,0.1474224454755221,9
14132226102,幸区,小倉二丁目,139.667056,35.541864,2647,16008.0,0.1526956530970179,8
14132226103,幸区,小倉三丁目,139.670672,35.541275,3757,20565.99,0.08835036789578128,5
14132226104,幸区,小倉四丁目,139.670376,35.537528,3876,24473.31,0.18372123732283974,6
14132226105,幸区,小倉五丁目,139.665465,35.536885,2899,16595.8,0.06345863641187514,7
14132227001,幸区,南加瀬一丁目,139.665987,35.547205,2722,14274.17,0.056943239138589924,13
14132227002,幸区,南加瀬二丁目,139.66182,35.54793,3543,20144.27,0.06856126189492545,11
14132227003,幸区,南加瀬三丁目,139.663839,35.543324,4599,26864.53,0.14007867591887713,10
14132227004,幸区,南加瀬四丁目,139.658117,35.5451,6151,36021.2,0.26636431194190047,7
