区,町丁名,緯度,経度,グリッド点数,カバー率,総人口_累計,カバー人口_累計,リスク加重人口_累計,カバーリスク加重人口_累計,最寄りAED距離_m,カバー外リスク加重人口
川崎区,中瀬一丁目,35.541375,139.72839,96,0.0,0,0,0,0,346,0
川崎区,中瀬二丁目,35.537671,139.727781,37,83.8,19030,15944,135466,113499,57,21967
川崎区,中瀬三丁目,35.538605,139.732389,84,44.0,55554,24470,300501,132363,95,168138
川崎区,大師駅前一丁目,35.534737,139.726888,31,100.0,20000,20000,133875,133875,13,0
川崎区,大師駅前二丁目,35.534103,139.723248,37,100.0,32851,32851,175177,175177,49,0
川崎区,川中島一丁目,35.532268,139.726841,40,100.0,21026,21026,144382,144382,63,0
川崎区,川中島二丁目,35.530287,139.727472,31,100.0,9283,9283,64883,64883,16,0
川崎区,伊勢町,35.531991,139.721602,46,97.8,24872,24331,158357,154915,42,3442
川崎区,藤崎一丁目,35.529388,139.720948,53,100.0,24160,24160,163059,163059,20,0
川崎区,藤崎二丁目,35.52672,139.72068,37,100.0,16606,16606,113541,113541,22,0
川崎区,藤崎三丁目,35.527824,139.724088,42,100.0,19858,19858,137962,137962,22,0
川崎区,藤崎四丁目,35.524411,139.722141,51,100.0,32428,32428,225413,225413,51,0
川崎区,観音一丁目,35.527475,139.726357,48,87.5,25049,21917,160461,140403,58,20058
川崎区,観音二丁目,35.52751,139.729473,52,90.4,31461,28435,185053,167259,74,17794
川崎区,池上新町一丁目,35.523199,139.728017,27,100.0,9038,9038,63283,63283,120,0
川崎区,池上新町二丁目,35.52445,139.73028,56,100.0,28534,28534,191004,191004,67,0
川崎区,池上新町三丁目,35.521816,139.733766,68,85.3,728,620,8667,7392,23,1275
川崎区,四谷上町,35.527536,139.734512,100,99.0,46059,45598,304920,301871,4,3049
川崎区,四谷下町,35.525468,139.738079,67,95.5,14240,13602,88575,84609,15,3966
川崎区,大師公園,35.531814,139.731402,32,100.0,0,0,0,0,21,0
川崎区,台町,35.530165,139.732887,38,100.0,19850,19850,119926,119926,111,0
川崎区,昭和一丁目,35.533116,139.737099,12,100.0,8892,8892,65145,65145,94,0
川崎区,昭和二丁目,35.530968,139.737592,59,96.6,22623,21856,151060,145940,83,5120
川崎区,出来野,35.533681,139.739885,26,100.0,13328,13328,88018,88018,30,0
川崎区,大師本町,35.535748,139.730166,23,47.8,13423,6419,90941,43493,166,47448
川崎区,大師町,35.53386,139.730628,36,83.3,7217,6014,53154,44295,161,8859
川崎区,東門前一丁目,35.535562,139.733307,25,92.0,9595,8827,60912,56039,68,4873
川崎区,東門前二丁目,35.533411,139.734664,17,100.0,4034,4034,29776,29776,43,0
川崎区,東門前三丁目,35.535558,139.736458,37,100.0,22980,22980,125546,125546,9,0
川崎区,大師河原一丁目,35.54065,139.738454,176,63.1,10624,6700,63325,39938,24,23387
川崎区,大師河原二丁目,35.536032,139.739911,30,100.0,24547,24547,123855,123855,21,0
川崎区,殿町一丁目,35.540802,139.743459,119,48.7,19745,9623,120150,58560,24,61590
川崎区,殿町二丁目,35.54101,139.747401,92,48.9,11613,5680,73507,35954,138,37553
川崎区,殿町三丁目,35.540165,139.757852,452,20.8,9256,1924,51580,10727,29,40853
川崎区,小島町,35.534437,139.756791,292,17.1,123,21,538,92,76,446
川崎区,江川一丁目,35.536602,139.743974,20,100.0,5431,5431,36071,36071,56,0
川崎区,江川二丁目,35.536267,139.74749,31,100.0,15458,15458,82521,82521,98,0
川崎区,田町一丁目,35.535289,139.742182,7,100.0,3281,3281,22574,22574,175,0
川崎区,田町二丁目,35.534536,139.745307,43,100.0,21205,21205,144155,144155,34,0
川崎区,田町三丁目,35.534778,139.749543,43,100.0,2894,2894,19031,19031,21,0
川崎区,日ノ出一丁目,35.531913,139.741919,37,100.0,8953,8953,61055,61055,49,0
川崎区,日ノ出二丁目,35.531786,139.74415,39,100.0,9354,9354,59921,59921,12,0
川崎区,塩浜一丁目,35.528522,139.740963,61,91.8,12005,11020,74827,68694,11,6133
川崎区,塩浜二丁目,35.52318,139.738406,63,90.5,5985,5415,39424,35669,7,3755
川崎区,塩浜三丁目,35.521646,139.741117,192,87.0,3664,3186,27400,23832,17,3568
川崎区,塩浜四丁目,35.529171,139.746477,138,89.1,648,577,3677,3278,13,399
川崎区,夜光一丁目,35.528102,139.751951,165,60.6,406,246,5872,3559,14,2313
川崎区,夜光二丁目,35.522538,139.747666,103,69.9,0,0,0,0,47,0
川崎区,夜光三丁目,35.51764,139.741141,82,100.0,0,0,0,0,47,0
川崎区,浮島町,35.52168,139.777376,1932,7.4,4,0,13,0,16,13
川崎区,千鳥町,35.516789,139.75682,823,42.3,93,39,287,121,7,166
川崎区,水江町,35.508848,139.740029,700,10.0,0,0,0,0,17,0
川崎区,東扇島,35.497112,139.756994,1928,23.3,33,7,314,73,16,241
川崎区,桜本一丁目,35.519253,139.722867,80,95.0,25533,24256,159751,151763,22,7988
川崎区,桜本二丁目,35.521702,139.725539,81,91.4,31346,28637,214782,196221,81,18561
川崎区,浜町一丁目,35.516755,139.717549,34,100.0,17256,17256,117048,117048,28,0
川崎区,浜町二丁目,35.513978,139.717802,49,100.0,22110,22110,139638,139638,15,0
川崎区,浜町三丁目,35.517457,139.719757,24,100.0,12952,12952,85391,85391,126,0
川崎区,浜町四丁目,35.516017,139.721964,36,100.0,8890,8890,55080,55080,82,0
川崎区,追分町,35.519319,139.714665,26,100.0,21905,21905,152073,152073,64,0
川崎区,鋼管通一丁目,35.517836,139.712786,48,100.0,18080,18080,121903,121903,59,0
川崎区,鋼管通二丁目,35.516347,139.715309,28,100.0,12038,12038,82597,82597,55,0
川崎区,鋼管通三丁目,35.514017,139.713706,25,100.0,10814,10814,74132,74132,83,0
川崎区,鋼管通四丁目,35.511721,139.712371,43,100.0,8720,8720,54026,54026,114,0
川崎区,鋼管通五丁目,35.510741,139.714125,23,100.0,206,206,2889,2889,169,0
川崎区,田島町,35.516538,139.710342,52,100.0,18080,18080,122109,122109,25,0
川崎区,小田栄一丁目,35.516094,139.70445,36,100.0,13361,13361,93496,93496,51,0
川崎区,小田栄二丁目,35.513671,139.708781,69,100.0,59151,59151,285309,285309,91,0
川崎区,小田一丁目,35.515907,139.698993,54,88.9,20533,18251,138585,123187,97,15398
川崎区,小田二丁目,35.513514,139.699537,57,100.0,23364,23364,160856,160856,19,0
川崎区,小田三丁目,35.513619,139.703904,44,100.0,19097,19097,134869,134869,67,0
川崎区,小田四丁目,35.510739,139.700389,61,100.0,24490,24490,161460,161460,17,0
川崎区,小田五丁目,35.511217,139.705948,55,100.0,28688,28688,182470,182470,17,0
川崎区,小田六丁目,35.509135,139.705668,25,100.0,13105,13105,91158,91158,165,0
川崎区,小田七丁目,35.509175,139.708588,43,97.7,13944,13619,67280,65715,25,1565
川崎区,浅田一丁目,35.507029,139.704824,25,100.0,13104,13104,90432,90432,106,0
川崎区,浅田二丁目,35.507214,139.702624,40,100.0,18089,18089,129582,129582,25,0
川崎区,浅田三丁目,35.507363,139.699955,36,97.2,15797,15358,116654,113413,152,3241
川崎区,浅田四丁目,35.504524,139.700361,36,94.4,15310,14459,100714,95119,43,5595
川崎区,池上町,35.517417,139.731499,232,68.1,5703,3883,42469,28923,21,13546
川崎区,浅野町,35.513214,139.725528,187,55.6,3,1,17,9,3,8
川崎区,南渡田町,35.508667,139.716417,259,48.3,34,16,198,95,30,103
川崎区,田辺新田,35.504775,139.707193,112,34.8,17,5,277,96,71,181
川崎区,白石町,35.500709,139.709411,140,56.4,173,97,1482,836,30,646
川崎区,大川町,35.495061,139.712996,198,56.6,1,0,5,3,15,2
川崎区,扇町,35.502505,139.723869,729,0.0,250,0,3010,0,305,3010
川崎区,扇島,35.482221,139.729087,1574,0.0,0,0,0,0,983,0
川崎区,水面,35.491029,139.772609,14588,1.4,0,0,0,0,15,0
川崎区,駅前本町,35.532053,139.69959,56,100.0,3884,3884,26803,26803,14,0
川崎区,砂子一丁目,35.531708,139.701494,21,100.0,5332,5332,35901,35901,88,0
川崎区,砂子二丁目,35.529232,139.700493,21,100.0,9974,9974,66805,66805,158,0
川崎区,本町一丁目,35.533309,139.703312,19,100.0,15896,15896,106010,106010,167,0
川崎区,本町二丁目,35.535232,139.705501,49,100.0,29863,29863,198509,198509,16,0
川崎区,堀之内町,35.533091,139.706027,24,100.0,11862,11862,71978,71978,97,0
川崎区,宮本町,35.531009,139.704135,27,100.0,11386,11386,71981,71981,23,0
川崎区,東田町,35.528482,139.702623,31,100.0,12949,12949,82915,82915,111,0
川崎区,日進町,35.526129,139.694421,119,100.0,64080,64080,427343,427343,22,0
川崎区,小川町,35.527433,139.697507,41,100.0,21938,21938,131406,131406,57,0
川崎区,南町,35.525758,139.698971,45,100.0,32435,32435,201993,201993,4,0
川崎区,堤根,35.525401,139.689753,26,92.3,2331,2151,14934,13785,91,1149
川崎区,下並木,35.523355,139.689986,44,100.0,29316,29316,178949,178949,22,0
川崎区,池田一丁目,35.521433,139.691249,34,100.0,18710,18710,123603,123603,161,0
川崎区,池田二丁目,35.520331,139.69235,20,100.0,10863,10863,71863,71863,51,0
川崎区,京町一丁目,35.517839,139.693743,47,100.0,29606,29606,179142,179142,21,0
川崎区,京町二丁目,35.513607,139.695246,54,57.4,30662,17602,218004,125150,139,92854
川崎区,京町三丁目,35.508879,139.696892,56,87.5,37057,32424,241440,211260,13,30180
川崎区,渡田山王町,35.518604,139.696583,54,88.9,19596,17418,132745,117995,95,14750
川崎区,元木一丁目,35.523824,139.699286,21,100.0,11072,11072,66859,66859,88,0
川崎区,元木二丁目,35.522231,139.695988,20,100.0,9911,9911,65994,65994,66,0
川崎区,渡田新町一丁目,35.522141,139.700173,24,100.0,7479,7479,50066,50066,161,0
川崎区,渡田新町二丁目,35.521099,139.699332,18,100.0,10131,10131,65189,65189,141,0
川崎区,渡田新町三丁目,35.519706,139.698839,53,100.0,14699,14699,103147,103147,1,0
川崎区,渡田向町,35.52173,139.70317,51,100.0,19382,19382,131338,131338,19,0
川崎区,渡田一丁目,35.522843,139.707561,38,100.0,22427,22427,145612,145612,23,0
川崎区,渡田二丁目,35.520872,139.706223,28,100.0,13307,13307,91265,91265,104,0
川崎区,渡田三丁目,35.518893,139.705155,27,100.0,8923,8923,60058,60058,80,0
川崎区,渡田四丁目,35.517921,139.703147,28,100.0,12722,12722,80565,80565,23,0
川崎区,大島上町,35.520765,139.710214,47,100.0,23015,23015,151218,151218,94,0
川崎区,渡田東町,35.518216,139.707857,31,100.0,12202,12202,83338,83338,81,0
川崎区,大島一丁目,35.524222,139.71187,51,100.0,22892,22892,154273,154273,34,0
川崎区,大島二丁目,35.521453,139.714702,25,100.0,11423,11423,80435,80435,66,0
川崎区,大島三丁目,35.520703,139.718183,57,100.0,23407,23407,158420,158420,65,0
川崎区,大島四丁目,35.524337,139.714789,35,100.0,19513,19513,124999,124999,37,0
川崎区,大島五丁目,35.523711,139.718387,55,100.0,22059,22059,152413,152413,18,0
川崎区,宮前町,35.528219,139.705598,29,100.0,15195,15195,93041,93041,13,0
川崎区,新川通,35.526419,139.705161,28,100.0,9818,9818,73594,73594,104,0
川崎区,境町,35.52514,139.708623,36,100.0,18141,18141,113386,113386,131,0
川崎区,貝塚一丁目,35.525202,139.702195,27,100.0,19406,19406,122839,122839,128,0
川崎区,貝塚二丁目,35.524279,139.704153,26,100.0,18245,18245,110937,110937,132,0
川崎区,榎町,35.530708,139.706525,20,100.0,20066,20066,110165,110165,75,0
川崎区,富士見一丁目,35.531649,139.71087,139,93.5,21322,19941,114664,107240,53,7424
川崎区,富士見二丁目,35.527809,139.710858,73,100.0,6790,6790,39374,39374,93,0
川崎区,中島一丁目,35.53004,139.716497,16,100.0,9790,9790,61879,61879,71,0
川崎区,中島二丁目,35.52868,139.71645,24,100.0,12840,12840,89301,89301,156,0
川崎区,中島三丁目,35.526948,139.716258,35,100.0,15184,15184,96926,96926,17,0
川崎区,旭町一丁目,35.535094,139.71039,35,62.9,11552,7261,77299,48588,128,28711
川崎区,旭町二丁目,35.531955,139.716572,44,100.0,18256,18256,123095,123095,25,0
川崎区,港町,35.535177,139.715941,100,24.0,51269,12304,276534,66368,182,210166
川崎区,鈴木町,35.538057,139.722188,192,29.7,0,0,0,0,126,0
幸区,戸手本町一丁目,35.543219,139.687137,51,100.0,18480,18480,107408,107408,21,0
