町丁コード,区,町丁名,経度,緯度,総人口_累計,リスク加重人口_累計,最寄りAED距離_km,500m以内AED数
14131115001,川崎区,元木一丁目,139.699286,35.523824,11072,66859.36,0.0960412524004276,8
14131115002,川崎区,元木二丁目,139.695988,35.522232,9911,65994.81,0.10181252138452479,13
14131116001,川崎区,渡田新町一丁目,139.700173,35.522141,7479,50066.3,0.27956544348730467,9
14131116002,川崎区,渡田新町二丁目,139.699332,35.521099,10131,65189.090000000004,0.24356992248034443,10
14131116003,川崎区,渡田新町三丁目,139.698839,35.519706,14699,103147.54000000001,0.24182981508107854,7
14131117000,川崎区,渡田向町,139.70317,35.52173,19382,131338.33,0.13947898896661703,8
14131118001,川崎区,渡田一丁目,139.707561,35.522843,22427,145612.15,0.08732065798987272,8
14131118002,川崎区,渡田二丁目,139.706223,35.520872,13307,91265.93000000001,0.18896897925180012,7
14131118003,川崎区,渡田三丁目,139.705155,35.518893,8923,60058.87,0.18733022843235356,9
14131118004,川崎区,渡田四丁目,139.703147,35.517921,12722,80565.82,0.2106141452171364,11
14131119000,川崎区,大島上町,139.710214,35.520765,23015,151218.68,0.2160777398528462,5
14131120000,川崎区,渡田東町,139.707857,35.518216,12202,83338.95,0.11036366113395163,14
14131121001,川崎区,大島一丁目,139.71187,35.524222,22892,154273.07,0.2144785548732763,16
14131121002,川崎区,大島二丁目,139.714702,35.521453,11423,80435.98,0.1242757087869825,7
14131121003,川崎区,大島三丁目,139.718183,35.520703,23407,158420.77,0.08606183574413054,13
14131121004,川崎区,大島四丁目,139.714789,35.524337,19513,124999.44,0.052921771671534806,13
14131121005,川崎区,大島五丁目,139.718387,35.523711,22059,152413.66,0.11918617610139799,14
14131122000,川崎区,宮前町,139.705598,35.528219,15195,93041.78,0.06935986941220115,33
14131123000,川崎区,新川通,139.705161,35.526419,9818,73594.67,0.06343869008749621,27
14131124000,川崎区,境町,139.708623,35.52514,18141,113386.18000000001,0.1939482888761927,18
14131125001,川崎区,貝塚一丁目,139.702194,35.525202,19406,122839.47,0.23783092400034034,10
14131125002,川崎区,貝塚二丁目,139.704153,35.524279,18245,110937.15,0.13189667994695192,9
14131126000,川崎区,榎町,139.706525,35.530708,20066,110165.76,0.09589278291436797,36
14131127001,川崎区,富士見一丁目,139.71087,35.531649,21322,114664.77,0.13158868656707798,18
14131127002,川崎区,富士見二丁目,139.710858,35.527809,6790,39374.27,0.08476010122420605,23
14131128001,川崎区,中島一丁目,139.716497,35.53004,9790,61879.51,0.1841219925776683,10
14131128002,川崎区,中島二丁目,139.71645,35.52868,12840,89301.42,0.19963168564926723,13
14131128003,川崎区,中島三丁目,139.716258,35.526948,15184,96926.72,0.12781502036454806,16
14131129001,川崎区,旭町一丁目,139.71039,35.535094,11552,77299.75,0.2875436091499571,1
14131129002,川崎区,旭町二丁目,139.716572,35.531955,18256,123095.14,0.15713793988738248,7
14131130000,川崎区,港町,139.715941,35.535177,51269,276534.0,0.35575317391314537,2
14131131000,川崎区,鈴木町,139.722188,35.538057,0,0.0,0.3681841960235678,2
14132201001,幸区,戸手本町一丁目,139.687137,35.543219,18480,107408.59,0.0747275442464239,16
14132201002,幸区,戸手本町二丁目,139.686254,35.540008,53701,288956.23,0.1809152286201145,13
14132202000,幸区,紺屋町,139.689896,35.542462,13142,78100.19,0.01831407893576596,20
14132203000,幸区,遠藤町,139.692383,35.542365,16318,86047.24,0.12003623475935615,12
14132204000,幸区,小向東芝町,139.690258,35.55017,0,0.0,0.24062122961345486,7
14132205001,幸区,小向西町一丁目,139.691403,35.548034,13766,81236.39,0.2389624917999817,8
14132205002,幸区,小向西町二丁目,139.690943,35.546625,6662,38298.39,0.21334249878263792,17
14132205003,幸区,小向西町三丁目,139.687734,35.548039,12881,75305.19,0.08890960990483349,15
14132205004,幸区,小向西町四丁目,139.687619,35.546155,23941,130900.11,0.09434294975073437,21
14132206000,幸区,古市場,139.683953,35.550744,22874,154283.09,0.06350945533027355,11
14132206001,幸区,古市場一丁目,139.687048,35.55467,38000,236854.74,0.09482421596687637,3
14132206002,幸区,古市場二丁目,139.6833,35.556646,41445,259922.7,0.203340065225816,4
14132207000,幸区,東古市場,139.692542,35.553799,27209,169631.92,0.14084193760766311,2
14132209000,幸区,小向仲野町,139.696662,35.550435,27266,162780.04,0.26633707155829317,3
14132210000,幸区,小向町,139.695213,35.547619,22738,153491.55,0.21344896443042466,4
14132211000,幸区,小向,139.700353,35.551055,0,0.0,0.4260052646058203,1
14132212001,幸区,戸手一丁目,139.690886,35.545185,7261,42273.92,0.14003359009313163,16
14132212002,幸区,戸手二丁目,139.692832,35.545331,12148,75706.4,0.1451496616117271,12
