西暦,町丁コード,都道府県,市区町村,行政区,町丁名,X_CODE,Y_CODE,性別,年齢5歳階級,将来推計人口
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,女,90～94歳,27
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,女,95～99歳,10
2060,14131001002,神奈川県,川崎市,川崎区,中瀬二丁目,139.727781,35.537671,女,100歳以上,2
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,男,0～4歳,49
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,男,5～9歳,69
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,男,10～14歳,104
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,男,15～19歳,129
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,男,20～24歳,166
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,男,25～29歳,144
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,男,30～34歳,101
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,男,35～39歳,89
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,男,40～44歳,147
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,男,45～49歳,389
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,男,50～54歳,507
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,男,55～59歳,268
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,男,60～64歳,122
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,男,65～69歳,97
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,男,70～74歳,84
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,男,75～79歳,125
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,男,80～84歳,190
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,男,85～89歳,146
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,男,90～94歳,37
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,男,95～99歳,7
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,男,100歳以上,1
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,女,0～4歳,46
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,女,5～9歳,65
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,女,10～14歳,98
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,女,15～19歳,115
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,女,20～24歳,132
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,女,25～29歳,105
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,女,30～34歳,75
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,女,35～39歳,67
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,女,40～44歳,102
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,女,45～49歳,262
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,女,50～54歳,353
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,女,55～59歳,182
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,女,60～64歳,81
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,女,65～69歳,63
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,女,70～74歳,63
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,女,75～79歳,113
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,女,80～84歳,200
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,女,85～89歳,178
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,女,90～94歳,65
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,女,95～99歳,18
2060,14131001003,神奈川県,川崎市,川崎区,中瀬三丁目,139.732389,35.538605,女,100歳以上,2
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,男,0～4歳,24
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,男,5～9歳,20
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,男,10～14歳,18
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,男,15～19歳,20
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,男,20～24歳,44
2060,14131002001,神奈川県,川崎市,川崎区,大師駅前一丁目,139.726888,35.534737,男,25～29歳,81
