町丁コード,区,町丁名,緯度,経度,総人口,高齢化率,後期高齢化率,高齢者人口,最寄りAED距離_km,最寄りAED名,500m以内AED数,1km以内AED数,高齢化率_norm,距離_norm,人口_norm,リスクスコア
11001,川崎区,池上新町１丁目,35.523233,139.7280385,1029,25.462,14.674,262,0.08458397878001213,セブン‐イレブン　川崎池上新町１丁目店,7,28,25.462,7.074530208796317,3.9126132298089367,11.642196052461207
11002,川崎区,池上新町２丁目,35.5245006,139.7303306,3260,23.405,13.098,763,0.17611057815548017,セブン‐イレブン　川崎四谷上町店,8,27,23.405,14.770883524036885,12.403897389053817,16.6510226263309
11003,川崎区,池上新町３丁目,35.5218401,139.7338242,140,29.286,8.571,41,0.21439966237043154,臨港消防署,6,22,29.286,17.990563073436284,0.5290401157037375,16.140737264085637
11004,川崎区,伊勢町,35.5351837,139.725783,2967,19.211,10.482,570,0.11586505877614589,教育文化会館大師分館,4,18,19.211,9.704915751090134,11.288726497678313,13.031884249739546
11005,川崎区,浮島町,35.5318437,139.7687813,1,0.0,0.0,0,1.1896725703490192,三菱ケミカル物流株式会社川崎油槽所,0,0,0.0,100.0,0.0,40.0
11006,川崎区,江川１丁目,35.5372576,139.743287,937,15.582,8.218,146,0.03408535903686197,セブン‐イレブン　川崎浮島通り店,7,20,15.582,2.828166614745448,3.5624571820050237,6.874603800499687
11007,川崎区,江川２丁目,35.5318437,139.7687813,1586,13.115,6.747,208,1.1896725703490192,三菱ケミカル物流株式会社川崎油槽所,0,0,13.114999999999998,100.0,6.032579736621756,45.74427392098653
11008,川崎区,川中島１丁目,35.5322289,139.7269072,2479,26.099,15.208,647,0.15621412204365967,川中島小学校,5,26,26.099,13.097816273613159,9.43137702671843,15.898239617460792
11009,川崎区,川中島２丁目,35.530245,139.7275362,1101,22.979,12.625,253,0.16896697305026084,川中島小学校,4,29,22.979,14.170187013847732,4.186648397655477,13.817769324835735
11010,川崎区,観音１丁目,35.5274896,139.7264342,2852,25.877,15.358,738,0.24121050151405146,藤崎小学校,6,32,25.877,20.24505184648566,10.851031437923423,19.116430169971288
11011,川崎区,観音２丁目,35.5275147,139.7295768,3248,20.536,11.392,667,0.1814121562805959,メディホス川崎大師,6,29,20.536,15.216686368867341,12.358224861079394,15.954942005870755
11012,川崎区,小島町,35.5318437,139.7687813,2,0.0,0.0,0,1.1896725703490192,三菱ケミカル物流株式会社川崎油槽所,0,0,0.0,100.0,0.0038060439978686153,40.00114181319936
11013,川崎区,塩浜１丁目,35.5285229,139.7410264,1229,21.481,12.449,264,0.20764960100390512,株式会社サニクリーン東京　京浜営業所,4,24,21.481,17.42295914702768,4.67382202938266,14.81563026762587
11014,川崎区,塩浜２丁目,35.523486,139.737703,656,18.902,11.433,124,0.09179825330011311,セブン‐イレブン　川崎塩浜２丁目店,3,20,18.902,7.6811692186437295,2.492958818603943,9.490955333038675
11015,川崎区,塩浜３丁目,35.5216173,139.7411998,439,23.918,13.212,105,0.19576746905455203,入江崎余熱利用プール,6,15,23.918,16.42380604569394,1.6670472710664537,14.245036599597512
11016,川崎区,塩浜４丁目,35.5291171,139.7465136,57,21.053,10.526,12,0.28486911274228144,川崎生活環境事業所,4,18,21.053,23.916247974802086,0.21313846388064245,15.946340729085028
11017,川崎区,昭和１丁目,35.533096,139.7371203,1186,25.717,14.84,305,0.1324234297292905,グッドタイムホーム・川崎大師,12,26,25.717000000000002,11.0972877396683,4.5101621374743095,13.507063737109613
11018,川崎区,昭和２丁目,35.5309376,139.7376674,2553,25.695,15.59,656,0.2029237615714276,グッドタイムホーム・川崎大師,12,24,25.695,17.02556942391303,9.713024282560706,17.432635054333424
