町丁コード,区,町丁名,緯度,経度,総人口,人口,リスク加重人口,高齢者人口,高齢者リスク加重人口,リスク加重高齢化率,最寄りAED距離_km,500m以内AED数,リスク加重人口_norm,距離_norm,リスク加重スコア
10019,川崎区,京町１丁目,35.5178189,139.6938646,3070,3070,9341.364,628,6278.918,67.21628661510246,0.022673731967793827,6,15.736386429351912,1.9058800322799694,10.204183870523135
10020,川崎区,京町２丁目,35.5135413,139.6953626,3475,3475,13992.321,1123,10645.408,76.08035864814707,0.2922111315121337,5,23.571351068166894,24.562315614825554,23.96773688683036
10021,川崎区,京町３丁目,35.508837,139.6969505,4002,4002,15567.134,1234,12033.610999999999,77.30139022378813,0.12021484611784858,6,26.22426834255712,10.104868273341854,19.776508314871013
10022,川崎区,境町,35.5732659,139.4840407,1948,1948,5797.645,390,3894.239,67.16932478618473,0.6453897100068444,0,9.766665992268365,54.24935617516202,27.559742065425826
10023,川崎区,下並木,35.5231379,139.6900209,3059,3059,8355.088,547,5255.139,62.897470379725505,0.1036661715916973,13,14.074913836913003,8.713840612571602,11.930484547176443
10024,川崎区,新川通,35.5960902,139.4825242,1395,1395,3947.742,256,2562.007,64.89803538326467,0.4537683543473065,1,6.650334323272551,38.14228937077894,19.247116342275106
10026,川崎区,堤根,35.5249933,139.6887189,296,296,922.228,75,688.449,74.65062869485637,0.2403161796728681,10,1.5535778483707898,20.200195050505833,9.012224729224808
10027,川崎区,中島１丁目,35.529989,139.7165494,1117,1117,3311.994,245,2322.683,70.12944467894567,0.1819237217708602,10,5.579358371614141,15.2919152971215,9.464381141817086
10028,川崎区,中島２丁目,35.5286665,139.7165,1530,1530,5298.585,386,3799.35,71.7049929367935,0.19620626644978154,12,8.925953542626923,16.492459466575724,11.952555912206442
10029,川崎区,中島３丁目,35.5268913,139.7163172,1610,1610,5332.708,370,3700.6769999999997,69.3958304111157,0.13179518454955233,16,8.983436873126491,11.07827379014774,9.821371639934991
10030,川崎区,日進町,35.5259814,139.6939041,7245,7245,22979.76,1631,16200.498,70.4989869345894,0.08689851132111126,16,38.71151829794491,7.304405723636839,26.148673268221685
10031,川崎区,東田町,35.5732659,139.4840407,1569,1569,3411.484,204,1894.906,55.54491828189726,0.6453897100068444,0,5.7469584229402875,54.24935617516202,25.14791752382898
10032,川崎区,富士見１丁目,35.5315993,139.7109474,2040,2040,4035.557,205,1933.123,47.90225983674621,0.12367922107363097,16,6.798266763791252,10.396072344287695,8.23738899598983
10033,川崎区,富士見２丁目,35.5277167,139.7109632,621,621,1730.367,108,1107.116,63.98157153944799,0.07872570597988447,23,2.914962287798482,6.617426335784844,4.395947906993027
10034,川崎区,堀之内町,35.5330643,139.7060619,1439,1439,2736.2380000000003,163,1518.012,55.478068793723345,0.17129774007941123,28,4.6094444591471895,14.398729898358242,8.52515863483161
10035,川崎区,本町１丁目,35.542389,139.6865191,2141,2141,3907.747,206,1873.5739999999998,47.94512029565885,0.035879921385973394,16,6.582959068947601,3.0159492855624257,5.156155155593531
10036,川崎区,本町２丁目,35.5359385,139.7085421,3750,3750,8887.86,545,5109.590999999999,57.48955316577893,0.15917562073706654,1,14.972417249769915,13.3797840434674,14.33536396724891
10037,川崎区,港町,35.5732659,139.4840407,4768,4768,9321.833,464,4113.152999999999,44.1238649094014,0.6453897100068444,0,15.70348466432577,54.24935617516202,31.12183326866027
10038,川崎区,南町,35.525717,139.6989984,3942,3942,7663.731,442,4065.587,53.04970907773251,0.037692016762143676,14,12.910259412501595,3.1682681186039128,9.013462894942522
10039,川崎区,宮前町,35.5281942,139.7056517,1673,1673,5157.3189999999995,359,3642.899,70.63551818299392,0.06941737166132823,33,8.687977978744728,5.834998081948125,7.546786020026087
10040,川崎区,宮本町,35.5308328,139.7030423,1329,1329,2600.4919999999997,148,1314.232,50.53782130458391,0.009801020156540273,34,4.38076784273027,0.8238418200786882,2.9579974336696373
10041,川崎区,元木１丁目,35.5237542,139.6993407,1166,1166,3563.317,240,2408.45,67.5901133690884,0.10182008859088154,8,6.002735069769144,8.558664890542964,7.025106998078671
10042,川崎区,元木２丁目,35.5222124,139.6960813,1149,1149,3687.152,273,2687.121,72.8779556687655,0.0939022212602293,11,6.2113465116826365,7.8931147612053305,6.8840538114917145
10043,川崎区,渡田１丁目,35.5227965,139.7076546,2456,2456,8109.089,595,5807.362999999999,71.6154798646309,0.07769432117481698,7,13.660505906204582,6.530731489591584,10.808596139559382
10044,川崎区,渡田２丁目,35.5208523,139.7062624,1585,1585,5702.5019999999995,424,4327.129,75.88123599079843,0.19180266578712538,7,9.606388862071121,16.1223071429524,12.212756174423632
10045,川崎区,渡田３丁目,35.5188516,139.7052074,1026,1026,3555.4629999999997,268,2636.9049999999997,74.16488372962958,0.19359285785549737,9,5.98950428473431,16.27278485530706,10.10281651296341
10046,川崎区,渡田４丁目,35.5178891,139.7031789,1389,1389,4815.515,352,3596.459,74.68482602587677,0.20644262201209426,11,8.112177717980005,17.352894162427344,11.808464295758942
