町丁コード,区,町丁名,緯度,経度
30071,中原区,上小田中３丁目,35.586945,139.633167
30072,中原区,上小田中４丁目,35.583537,139.640258
30073,中原区,上小田中５丁目,35.582758,139.636621
30074,中原区,上小田中６丁目,35.582178,139.645375
30075,中原区,上小田中７丁目,35.581033,139.648845
30076,中原区,井田１丁目,35.562932,139.643385
30077,中原区,井田２丁目,35.561114,139.640893
30078,中原区,井田３丁目,35.562737,139.636755
30079,中原区,井田三舞町,35.569301,139.646265
30080,中原区,井田杉山町,35.569529,139.642792
30081,中原区,井田中ノ町,35.565289,139.643876
30082,中原区,木月伊勢町,35.569092,139.65494
30083,中原区,木月大町,35.571152,139.65034
30084,中原区,木月祗園町,35.568179,139.65085
30085,中原区,木月住吉町,35.565849,139.658919
30086,中原区,木月１丁目,35.565429,139.652818
30087,中原区,木月２丁目,35.564023,139.65547
30088,中原区,木月３丁目,35.562816,139.650428
30089,中原区,木月４丁目,35.559027,139.654425
30091,中原区,苅宿,35.561763,139.663954
30092,中原区,西加瀬,35.560117,139.659823
30093,中原区,今井上町,35.578438,139.649884
30094,中原区,今井仲町,35.574457,139.651479
30095,中原区,今井西町,35.575397,139.64838
30096,中原区,今井南町,35.572501,139.654761
40001,高津区,宇奈根,35.6142322,139.6040043
40002,高津区,梶ケ谷１丁目,35.589773,139.599458
40003,高津区,梶ケ谷２丁目,35.5894142,139.6024041
40004,高津区,梶ケ谷３丁目,35.587765,139.606183
40005,高津区,梶ケ谷４丁目,35.5867551,139.6027735
40006,高津区,梶ケ谷５丁目,35.583936,139.605954
40007,高津区,梶ケ谷６丁目,35.583404,139.610187
40008,高津区,上作延,35.6007089,139.5933116
40010,高津区,久地,35.610598,139.5925023
40012,高津区,坂戸１丁目,35.597928,139.621556
40013,高津区,坂戸２丁目,35.5961274,139.6262705
40014,高津区,坂戸３丁目,35.5940977,139.6233129
40015,高津区,下作延,35.604026,139.594571
40016,高津区,下野毛１丁目,35.5989364,139.6374298
40017,高津区,下野毛２丁目,35.5953956,139.635925
40018,高津区,下野毛３丁目,35.595659,139.640058
40021,高津区,久本１丁目,35.5971663,139.6113144
40022,高津区,久本２丁目,35.594993,139.613968
40023,高津区,久本３丁目,35.595994,139.617343
40026,高津区,向ケ丘,35.593877,139.594688
40027,高津区,北見方１丁目,35.5981863,139.6277325
40028,高津区,北見方２丁目,35.6014023,139.6317217
40029,高津区,北見方３丁目,35.597837,139.632118
40030,高津区,諏訪１丁目,35.6056207,139.6245514
40031,高津区,諏訪２丁目,35.6044219,139.629071
40032,高津区,諏訪３丁目,35.6023147,139.6258322
40033,高津区,瀬田,35.6071957,139.6250135
40034,高津区,二子１丁目,35.599536,139.6079812
40035,高津区,二子２丁目,35.599536,139.6079812
40036,高津区,二子３丁目,35.599536,139.6079812
40037,高津区,二子４丁目,35.599536,139.6079812
40038,高津区,二子５丁目,35.599536,139.6079812
40039,高津区,二子６丁目,35.599536,139.6079812
40040,高津区,溝口１丁目,35.5997928,139.6131876
40041,高津区,溝口２丁目,35.6022518,139.6107168
40042,高津区,溝口３丁目,35.6036704,139.6128512
40043,高津区,溝口４丁目,35.6046655,139.615588
40044,高津区,溝口５丁目,35.6070572,139.614768
40045,高津区,溝口６丁目,35.608341,139.612497
40046,高津区,久地１丁目,35.606678,139.606989
40047,高津区,久地２丁目,35.611866,139.612344
40048,高津区,久地３丁目,35.6100158,139.6041036
40049,高津区,久地４丁目,35.6098493,139.5980466
40050,高津区,下作延１丁目,35.6018897,139.607448
40051,高津区,下作延２丁目,35.5983635,139.6066355
40052,高津区,下作延３丁目,35.5939164,139.6010918
40053,高津区,下作延４丁目,35.59895,139.602468
40054,高津区,下作延５丁目,35.604043,139.598006
40055,高津区,下作延６丁目,35.607085,139.599078
40056,高津区,下作延７丁目,35.6040939,139.6041438
40057,高津区,上作延１丁目,35.5999022,139.5951779
40058,高津区,上作延２丁目,35.6005663,139.5906289
40059,高津区,上作延３丁目,35.5979852,139.5896164
40060,高津区,上作延４丁目,35.5968925,139.5935029
40061,高津区,上作延５丁目,35.5960856,139.5976576
41001,高津区,明津,35.5678808,139.6366588
41002,高津区,蟹ケ谷,35.5651289,139.6316175
41003,高津区,子母口,35.5719091,139.6288304
41004,高津区,子母口富士見台,35.5745663,139.6257607
41005,高津区,新作１丁目,35.586338,139.610062
41006,高津区,新作２丁目,35.5832653,139.6143317
41007,高津区,新作３丁目,35.5861756,139.6156866
41008,高津区,新作４丁目,35.5866889,139.6203293
41009,高津区,新作５丁目,35.587628,139.624588
41010,高津区,新作６丁目,35.5857002,139.6251899
41012,高津区,千年,35.5779867,139.6228447
41013,高津区,千年新町,35.581997,139.628216
41015,高津区,久末,35.5663762,139.6208738
41016,高津区,末長１丁目,35.5927137,139.6066042
41017,高津区,末長２丁目,35.589939,139.613198
41018,高津区,末長３丁目,35.5903447,139.6202077
41019,高津区,末長４丁目,35.590903,139.625436
41020,高津区,北野川,35.579726,139.620171
41021,高津区,東野川１丁目,35.572079,139.618276
41022,高津区,東野川２丁目,35.5681441,139.6138797
50001,宮前区,有馬１丁目,35.578103,139.578515
50002,宮前区,有馬２丁目,35.578585,139.585061
50003,宮前区,有馬３丁目,35.5743248,139.5874819
50004,宮前区,有馬４丁目,35.575604,139.58013
50005,宮前区,有馬５丁目,35.573262,139.580892
50006,宮前区,有馬６丁目,35.570325,139.583039
50007,宮前区,有馬７丁目,35.570958,139.57781
50008,宮前区,有馬８丁目,35.573306,139.574567
50009,宮前区,有馬９丁目,35.572188,139.570378
50010,宮前区,梶ケ谷,35.58194,139.605476
50011,宮前区,けやき平,35.5891669,139.5786951
50012,宮前区,小台１丁目,35.581471,139.577296
50013,宮前区,小台２丁目,35.582278,139.581834
50014,宮前区,鷺沼１丁目,35.576974,139.572934
50015,宮前区,鷺沼２丁目,35.574646,139.569128
50016,宮前区,鷺沼３丁目,35.579103,139.56924
50017,宮前区,鷺沼４丁目,35.582943,139.567685
50018,宮前区,神木１丁目,35.593385,139.580384
50019,宮前区,神木２丁目,35.594734,139.5830449
50020,宮前区,土橋１丁目,35.587051,139.576673
50021,宮前区,土橋２丁目,35.584926,139.575955
50022,宮前区,土橋３丁目,35.582518,139.573235
50023,宮前区,土橋４丁目,35.586192,139.570235
50024,宮前区,土橋５丁目,35.589782,139.568083
50025,宮前区,土橋６丁目,35.589136,139.571104
50026,宮前区,土橋７丁目,35.590547,139.575373
50028,宮前区,東有馬１丁目,35.576096,139.589251
50029,宮前区,東有馬２丁目,35.575382,139.594066
50030,宮前区,東有馬３丁目,35.572447,139.591135
50031,宮前区,東有馬４丁目,35.569544,139.588441
50032,宮前区,東有馬５丁目,35.569215,139.595067
50034,宮前区,宮崎,35.5743248,139.5874819
50035,宮前区,宮崎１丁目,35.584751,139.593441
50036,宮前区,宮崎２丁目,35.588048,139.591687
50037,宮前区,宮崎３丁目,35.591563,139.591243
50038,宮前区,宮崎４丁目,35.59393,139.587005
50039,宮前区,宮崎５丁目,35.591243,139.58665
50040,宮前区,宮崎６丁目,35.591282,139.580981
50041,宮前区,宮前平１丁目,35.584839,139.585832
50042,宮前区,宮前平２丁目,35.587782,139.581604
50043,宮前区,宮前平３丁目,35.587669,139.586497
50044,宮前区,馬絹１丁目,35.581546,139.587416
50045,宮前区,馬絹２丁目,35.581163,139.592254
50046,宮前区,馬絹３丁目,35.579191,139.593971
50047,宮前区,馬絹４丁目,35.5799657,139.5988772
50048,宮前区,馬絹５丁目,35.583116,139.600006
50049,宮前区,馬絹６丁目,35.58256,139.59614
50050,宮前区,野川本町１丁目,35.5793075,139.6138018
50051,宮前区,野川本町２丁目,35.5752105,139.6142256
50052,宮前区,野川本町３丁目,35.575561,139.618075
50053,宮前区,西野川１丁目,35.5773005,139.6030086
50054,宮前区,西野川２丁目,35.5742637,139.6084884
50055,宮前区,西野川３丁目,35.5706247,139.6061951
50056,宮前区,野川台１丁目,35.5745779,139.5982933
50057,宮前区,野川台２丁目,35.5753611,139.6022375
50058,宮前区,野川台３丁目,35.5751015,139.6059054
50059,宮前区,南野川１丁目,35.5693942,139.6007931
50060,宮前区,南野川２丁目,35.566523,139.6033144
50061,宮前区,南野川３丁目,35.5704589,139.6126163
51001,宮前区,犬蔵１丁目,35.59051,139.559299
51002,宮前区,犬蔵２丁目,35.583435,139.563502
51003,宮前区,犬蔵３丁目,35.588909,139.555367
51004,宮前区,五所塚１丁目,35.5891669,139.5786951
51005,宮前区,五所塚２丁目,35.5891669,139.5786951
51006,宮前区,潮見台,35.594099,139.532237
51007,宮前区,神木本町１丁目,35.60325,139.579467
51008,宮前区,神木本町２丁目,35.603419,139.585331
51009,宮前区,神木本町３丁目,35.599542,139.586328
51010,宮前区,神木本町４丁目,35.597356,139.584064
51011,宮前区,神木本町５丁目,35.598484,139.58062
51012,宮前区,白幡台１丁目,35.597064,139.568798
51013,宮前区,白幡台２丁目,35.595752,139.566312
51014,宮前区,菅生１丁目,35.599855,139.555378
51015,宮前区,菅生２丁目,35.600109,139.550281
51016,宮前区,菅生３丁目,35.595648,139.548448
51017,宮前区,菅生４丁目,35.593455,139.551518
51018,宮前区,菅生５丁目,35.593765,139.556634
51019,宮前区,菅生６丁目,35.592765,139.561347
51020,宮前区,菅生ケ丘,35.596922,139.542145
51021,宮前区,平１丁目,35.601225,139.57782
51022,宮前区,平２丁目,35.601855,139.572713
51023,宮前区,平３丁目,35.603081,139.569094
51024,宮前区,平４丁目,35.598097,139.572178
51025,宮前区,平５丁目,35.598364,139.576281
51026,宮前区,平６丁目,35.596675,139.578087
51027,宮前区,南平台,35.594052,139.56976
51028,宮前区,初山１丁目,35.600965,139.562308
51029,宮前区,初山２丁目,35.596342,139.562868
51030,宮前区,水沢１丁目,35.590543,139.549837
51031,宮前区,水沢２丁目,35.591729,139.542802
51032,宮前区,水沢３丁目,35.594447,139.542682
60001,多摩区,生田１丁目,35.620825,139.543013
60002,多摩区,生田２丁目,35.620825,139.543013
60003,多摩区,生田３丁目,35.6221066,139.5467248
60004,多摩区,和泉,35.6293385,139.5647702
60005,多摩区,宿河原１丁目,35.620331,139.575896
60006,多摩区,宿河原２丁目,35.613705,139.572656
60007,多摩区,宿河原３丁目,35.613988,139.579678
60008,多摩区,宿河原４丁目,35.6180974,139.5802808
60009,多摩区,宿河原５丁目,35.6176888,139.5842862
60010,多摩区,宿河原６丁目,35.6110089,139.5881327
60011,多摩区,宿河原７丁目,35.6167666,139.5884924
60012,多摩区,菅１丁目,35.6323277,139.5372947
60013,多摩区,菅２丁目,35.632991,139.530962
60014,多摩区,菅３丁目,35.63608,139.525548
60015,多摩区,菅４丁目,35.6359051,139.5285458
60016,多摩区,菅５丁目,35.6372821,139.529756
60017,多摩区,菅６丁目,35.6388695,139.5252384
60018,多摩区,菅稲田堤１丁目,35.6352056,139.5354441
60019,多摩区,菅稲田堤２丁目,35.636803,139.539364
60020,多摩区,菅稲田堤３丁目,35.634919,139.542429
60021,多摩区,菅北浦１丁目,35.6308231,139.5385285
60022,多摩区,菅北浦２丁目,35.62966,139.535147
60023,多摩区,菅北浦３丁目,35.6308016,139.5311593
60024,多摩区,菅北浦４丁目,35.6268868,139.529374
60025,多摩区,菅北浦５丁目,35.627189,139.533957
60026,多摩区,菅城下,35.634521,139.524042
60027,多摩区,菅仙谷１丁目,35.629489,139.522437
60028,多摩区,菅仙谷２丁目,35.6288702,139.526553
60029,多摩区,菅仙谷３丁目,35.62358,139.525224
60030,多摩区,菅仙谷４丁目,35.626393,139.519225
60031,多摩区,菅野戸呂,35.6396579,139.5314929
60032,多摩区,菅馬場１丁目,35.620825,139.543013
60033,多摩区,菅馬場２丁目,35.6262308,139.5376
60034,多摩区,菅馬場３丁目,35.622958,139.533815
60035,多摩区,菅馬場４丁目,35.62054,139.529195
60036,多摩区,堰１丁目,35.6160136,139.5942887
60037,多摩区,堰２丁目,35.613098,139.595394
60038,多摩区,堰３丁目,35.611939,139.595076
60039,多摩区,中野島,35.6301147,139.5506829
60040,多摩区,中野島１丁目,35.6283912,139.5468616
60041,多摩区,中野島２丁目,35.626321,139.549433
60042,多摩区,中野島３丁目,35.627875,139.5533377
60043,多摩区,中野島４丁目,35.628776,139.558865
60044,多摩区,中野島５丁目,35.6313949,139.558649
60045,多摩区,中野島６丁目,35.631822,139.551584
60046,多摩区,長尾１丁目,35.611517,139.573892
60047,多摩区,長尾２丁目,35.608698,139.571747
60048,多摩区,長尾３丁目,35.608226,139.577033
60049,多摩区,長尾４丁目,35.6108448,139.5785026
60050,多摩区,長尾５丁目,35.611186,139.5827687
60051,多摩区,長尾６丁目,35.6072585,139.5798673
60052,多摩区,長尾７丁目,35.607114,139.584933
60053,多摩区,登戸,35.6208025,139.5699959
60054,多摩区,登戸新町,35.6245657,139.5635201
60055,多摩区,東生田１丁目,35.6134396,139.5665804
60056,多摩区,東生田２丁目,35.6101848,139.565175
60057,多摩区,東生田３丁目,35.606368,139.566426
60058,多摩区,東生田４丁目,35.604824,139.56503
60059,多摩区,東三田２丁目,35.609706,139.553456
60060,多摩区,布田,35.6340413,139.5475352
60061,多摩区,枡形１丁目,35.620825,139.543013
60062,多摩区,枡形２丁目,35.6189538,139.5553819
60063,多摩区,枡形３丁目,35.6166515,139.5591203
60064,多摩区,枡形４丁目,35.617383,139.552885
60065,多摩区,枡形５丁目,35.613493,139.553267
60066,多摩区,枡形６丁目,35.612494,139.559472
60067,多摩区,枡形７丁目,35.606517,139.556576
61001,多摩区,生田４丁目,35.6197918,139.5451185
61002,多摩区,生田５丁目,35.6209409,139.5409235
61003,多摩区,生田６丁目,35.6176965,139.5374876
61004,多摩区,生田７丁目,35.6164929,139.5424363
61005,多摩区,生田８丁目,35.6170195,139.5478342
61006,多摩区,栗谷１丁目,35.6125462,139.5337057
61007,多摩区,栗谷２丁目,35.6093178,139.5350441
61008,多摩区,栗谷３丁目,35.6124066,139.5368358
61009,多摩区,栗谷４丁目,35.6111806,139.5393497
61010,多摩区,寺尾台１丁目,35.6196414,139.5351031
61011,多摩区,寺尾台２丁目,35.6211317,139.5376083
61012,多摩区,長沢１丁目,35.6035955,139.5449714
61013,多摩区,長沢２丁目,35.601068,139.545353
61014,多摩区,長沢３丁目,35.599901,139.541631
61015,多摩区,長沢４丁目,35.598453,139.535439
61016,多摩区,西生田１丁目,35.6161484,139.5287463
61017,多摩区,西生田２丁目,35.6160055,139.5329306
61018,多摩区,西生田３丁目,35.6118429,139.5296475
61019,多摩区,西生田４丁目,35.611717,139.52559
