id,source,name,address,latitude,longitude
kawasaki_350,川崎市オープンデータ,第3配水工事事務所,多摩区生田1-1-1,35.62333,139.54438
kawasaki_351,川崎市オープンデータ,長沢浄水場,多摩区三田5-1-1,35.60584469,139.5445373
kawasaki_352,川崎市オープンデータ,生田浄水場,多摩区生田1-1-1,35.62469,139.54136
kawasaki_353,川崎市オープンデータ,入江崎水処理センター,川崎区塩浜3-17-1,35.51943592,139.7402591
kawasaki_354,川崎市オープンデータ,加瀬水処理センター,幸区南加瀬4-40-22,35.54242833,139.6558447
kawasaki_356,川崎市オープンデータ,等々力水処理センター,中原区宮内3-22-1,35.5909415,139.646022
kawasaki_386,川崎市オープンデータ,宮前消防署,宮前区宮前平2-20-4,35.58959122,139.5798833
kawasaki_357,川崎市オープンデータ,麻生水処理センター,麻生区上麻生6-15-1,35.58396189,139.4953103
kawasaki_359,川崎市オープンデータ,入江崎総合スラッジセンター,川崎区塩浜3-24-12,35.52194167,139.7436018
kawasaki_360,川崎市オープンデータ,水運用センター,宮前区土橋3-1-1,35.58158992,139.573162
kawasaki_361,川崎市オープンデータ,塩浜営業所,川崎区塩浜2-2-1,35.5258985,139.7417469
kawasaki_362,川崎市オープンデータ,上平間営業所,中原区上平間1140,35.55615186,139.6801277
kawasaki_363,川崎市オープンデータ,井田営業所,高津区明津98,35.56576072,139.6383767
kawasaki_364,川崎市オープンデータ,鷲ケ峰営業所,宮前区菅生ケ丘41-1,35.59824547,139.5388869
kawasaki_365,川崎市オープンデータ,交通局管理課,川崎区砂子1-8-9御幸ビル9階,35.53088435,139.7016499
kawasaki_358,川崎市オープンデータ,あさおふれあいの丘,麻生区上麻生6-15-1,35.58396428,139.4953856
kawasaki_463,川崎市オープンデータ,東柿生小学校,麻生区王禅寺東6-3-1,35.57909411,139.5106466
kawasaki_464,川崎市オープンデータ,西生田小学校,麻生区細山2-2-1,35.61694569,139.5192519
kawasaki_465,川崎市オープンデータ,南百合丘小学校,麻生区王禅寺西1-26-1,35.59954839,139.5130348
kawasaki_564,川崎市オープンデータ,宮崎中学校,宮前区宮崎107,35.58890483,139.5980582
kawasaki_565,川崎市オープンデータ,有馬中学校,宮前区有馬7-7-1,35.57093322,139.5773526
kawasaki_566,川崎市オープンデータ,菅生中学校,宮前区菅生2-10-1,35.59838097,139.5524451
kawasaki_567,川崎市オープンデータ,中野島中学校,多摩区中野島1-16-1,35.62827467,139.5460429
