台帳番号,設置場所,設置位置,郵便番号,住所,24時間365日利用可能か,利用開始時間,利用終了時間,使用可能な曜日,使用可能日・使用可能時間帯の補足,使用対象者の範囲,緯度,経度,,,
51,王禅寺処理センター資源化処理施設,4階中央操作室内,215-0013,麻生区王禅寺1285,365日24時間使用可ではない,8時30分,17時15分,日曜日以外,1/1〜1/3,施設利用者・職員のみ,35.59243283,139.5247697,,,
52,浮島処理センター資源化処理施設,２階中央制御室内,210-0862,川崎区浮島町509-1,365日24時間使用可ではない,8時30分,17時15分,日曜日以外,,外部の使用も認める,35.51536603,139.7844542,,,
53,南部リサイクルセンター,１階玄関,210-0863,川崎区夜光3-１-３,365日24時間使用可ではない,8時30分,17時15分,日曜日以外,,外部の使用も認める,35.51974,139.74379,,,
54,川崎生活環境事業所,来客用受付カウンター,210-0826,川崎区塩浜4-１１-９,365日24時間使用可ではない,8時00分,16時45分,1/1〜3及び日曜日以外,,外部の使用も認める,35.5307412,139.7489482,,,
55,中原生活環境事業所,来客用受付カウンター,211-0012,中原区中丸子155-1,365日24時間使用可ではない,8時00分,16時45分,1/1〜3及び日曜日以外,,外部の使用も認める,35.56999724,139.6620559,,,
56,宮前生活環境事業所,編成室１階カウンター,216-0033,川崎市宮前区宮崎１７２,365日24時間使用可ではない,8時00分,16時45分,日曜日以外,年始1月１日〜3日は使用不可,外部の使用も認める,35.59010087,139.5951937,,,
57,多摩生活環境事業所,来庁者入口,214-0032,多摩区枡形1-14-1,365日24時間使用可ではない,8時00分,16時45分,日曜日以外,年始1/1〜1/3と日曜日は使用不可,外部の使用も認める,35.61985745,139.5527836,,,
58,生活づくり支援ホーム下野毛,1階入口玄関,213-0006,高津区下野毛1-7-16,365日24時間使用可,-,-,-,,外部の使用も認める,35.59885556,139.6371519,,,
59,川崎市自立支援センター日進町,1階事務所内,210-0024,川崎区日進町12-11,365日24時間使用可,-,-,-,,外部の使用も認める,35.52476531,139.6934103,,,
60,川崎市自立支援センター南幸町,1階受付内,212-0016,幸区南幸町3-105,365日24時間使用可,-,-,-,,外部の使用も認める,35.53066292,139.6852039,,,
